Material,Percent
Multilayer Plastic,
Multilayer Plastic Film ,138
PET,53
PP,
Plastic Film & Paper (or Paper & Plastic Film),1
Paper,
Tetra Pak,7
Aluminum,4
PS,
Polycarbonate,8
Paper & Aluminum,
Single-layer Plastic Film,29
LDPE,5
PP & HDPE,
Glass,1
Coated Paper,
Coated Wax Paper,
Coated Paperboard,
Cardboard ,
Cardboard & Plastic Film,11
Kaleng,
"Paper, Aluminum & Plastic",4
"Cardboard, Alumunium, and Plastic",2
Oxo-degradable plastic,
Cellulose Acetate,
HDPE,
Multilayer Container,
Soft Plastic,
Hard Plastic,
Other,9
