Material,Percent
Multilayer Plastic,
Multilayer Plastic Film ,66
PET,28
PP,4
Plastic Film & Paper (or Paper & Plastic Film),
Paper,
Tetra Pak,
Aluminum,
PS,
Polycarbonate,
Paper & Aluminum,
Single-layer Plastic Film,2
LDPE,
PP & HDPE,
Glass,
Coated Paper,
Coated Wax Paper,
Coated Paperboard,
Cardboard ,
Cardboard & Plastic Film,
Kaleng,
"Paper, Aluminum & Plastic",
"Cardboard, Alumunium, and Plastic",
Oxo-degradable plastic,
Cellulose Acetate,
HDPE,
Multilayer Container,
Soft Plastic,
Hard Plastic,
Other,
