Material,Percent
Multilayer Plastic,
Multilayer Plastic Film ,12
PET,
PP,
Plastic Film & Paper (or Paper & Plastic Film),3
Paper,
Tetra Pak,
Aluminum,3
PS,
Polycarbonate,
Paper & Aluminum,
Single-layer Plastic Film,4
LDPE,
PP & HDPE,
Glass,
Coated Paper,
Coated Wax Paper,
Coated Paperboard,
Cardboard ,
Cardboard & Plastic Film,
Kaleng,
"Paper, Aluminum & Plastic",3
"Cardboard, Alumunium, and Plastic",
Oxo-degradable plastic,
Cellulose Acetate,
HDPE,
Multilayer Container,
Soft Plastic,
Hard Plastic,
Other,
