Material,Percent
Multilayer Plastic,
Multilayer Plastic Film ,54
PET,12
PP,
Plastic Film & Paper (or Paper & Plastic Film),
Paper,
Tetra Pak,
Aluminum,
PS,
Polycarbonate,
Paper & Aluminum,
Single-layer Plastic Film,18
LDPE,1
PP & HDPE,15
Glass,
Coated Paper,
Coated Wax Paper,1
Coated Paperboard,6
Cardboard ,
Cardboard & Plastic Film,
Kaleng,
"Paper, Aluminum & Plastic",
"Cardboard, Alumunium, and Plastic",
Oxo-degradable plastic,1
Cellulose Acetate,3
HDPE,
Multilayer Container,1
Soft Plastic,1
Hard Plastic,3
Other,
