Material,Percent
Multilayer Plastic,
Multilayer Plastic Film ,134
PET,64
PP,
Plastic Film & Paper (or Paper & Plastic Film),8
Paper,
Tetra Pak,
Aluminum,
PS,
Polycarbonate,
Paper & Aluminum,
Single-layer Plastic Film,7
LDPE,
PP & HDPE,
Glass,
Coated Paper,
Coated Wax Paper,
Coated Paperboard,
Cardboard ,
Cardboard & Plastic Film,
Kaleng,
"Paper, Aluminum & Plastic",
"Cardboard, Alumunium, and Plastic",
Oxo-degradable plastic,
Cellulose Acetate,
HDPE,
Multilayer Container,
Soft Plastic,
Hard Plastic,
Other,
