Material,Percent
Multilayer Plastic,
Multilayer Plastic Film ,175
PET,50
PP,7
Plastic Film & Paper (or Paper & Plastic Film),13
Paper,
Tetra Pak,8
Aluminum,40
PS,3
Polycarbonate,
Paper & Aluminum,
Single-layer Plastic Film,43
LDPE,
PP & HDPE,5
Glass,4
Coated Paper,
Coated Wax Paper,
Coated Paperboard,
Cardboard ,6
Cardboard & Plastic Film,61
Kaleng,
"Paper, Aluminum & Plastic",8
"Cardboard, Alumunium, and Plastic",
Oxo-degradable plastic,
Cellulose Acetate,
HDPE,
Multilayer Container,
Soft Plastic,
Hard Plastic,
Other,
