Material,Percent
Multilayer Plastic,59
Multilayer Plastic Film ,
PET,21
PP,
Plastic Film & Paper (or Paper & Plastic Film),15
Paper,0.4
Tetra Pak,4
Aluminum,0.4
PS,
Polycarbonate,
Paper & Aluminum,
Single-layer Plastic Film,
LDPE,
PP & HDPE,
Glass,
Coated Paper,
Coated Wax Paper,
Coated Paperboard,
Cardboard ,
Cardboard & Plastic Film,
Kaleng,
"Paper, Aluminum & Plastic",
"Cardboard, Alumunium, and Plastic",
Oxo-degradable plastic,
Cellulose Acetate,
HDPE,
Multilayer Container,
Soft Plastic,
Hard Plastic,
Other,
