Material,Percent
Multilayer Plastic,
Multilayer Plastic Film,65
PET,4
PP,
Plastic Film & Paper (or Paper & Plastic Film),
Paper,3
Tetra Pak,
Aluminum,3
PS,
Polycarbonate,
Paper & Aluminum,
Single-layer Plastic Film,1
LDPE,
PP & HDPE,
Glass,
Coated Paper,
Coated Wax Paper,
Coated Paperboard,
Cardboard,
Cardboard & Plastic Film,
Kaleng,
"Paper, Aluminum & Plastic",
"Cardboard, Alumunium, and Plastic",
Oxo-degradable plastic,
Cellulose Acetate,
HDPE,
Multilayer Container,
Soft Plastic,
Hard Plastic,
Other,
